B_ID,B_Name,B__Round1_Strikes_Body Significant Strikes_Landed,B__Round1_Strikes_Clinch Significant Strikes_Landed,B__Round1_Strikes_Ground Significant Strikes_Landed,B__Round1_Strikes_Head Significant Strikes_Landed,B__Round1_Strikes_Legs Significant Strikes_Landed,B__Round1_Strikes_Significant Strikes_Landed,B__Round2_Strikes_Body Significant Strikes_Landed,B__Round2_Strikes_Clinch Significant Strikes_Landed,B__Round2_Strikes_Ground Significant Strikes_Landed,B__Round2_Strikes_Head Significant Strikes_Landed,B__Round2_Strikes_Legs Significant Strikes_Landed,B__Round2_Strikes_Significant Strikes_Landed,B__Round3_Strikes_Body Significant Strikes_Landed,B__Round3_Strikes_Clinch Significant Strikes_Landed,B__Round3_Strikes_Ground Significant Strikes_Landed,B__Round3_Strikes_Head Significant Strikes_Landed,B__Round3_Strikes_Legs Significant Strikes_Landed,B__Round3_Strikes_Significant Strikes_Landed,Date,Event_ID,Fight_ID,Last_round,Max_round,R_ID,R_Name,R__Round1_Strikes_Body Significant Strikes_Landed,R__Round1_Strikes_Clinch Significant Strikes_Landed,R__Round1_Strikes_Ground Significant Strikes_Landed,R__Round1_Strikes_Head Significant Strikes_Landed,R__Round1_Strikes_Legs Significant Strikes_Landed,R__Round1_Strikes_Significant Strikes_Landed,R__Round2_Strikes_Body Significant Strikes_Landed,R__Round2_Strikes_Clinch Significant Strikes_Landed,R__Round2_Strikes_Ground Significant Strikes_Landed,R__Round2_Strikes_Head Significant Strikes_Landed,R__Round2_Strikes_Legs Significant Strikes_Landed,R__Round2_Strikes_Significant Strikes_Landed,R__Round3_Strikes_Body Significant Strikes_Landed,R__Round3_Strikes_Clinch Significant Strikes_Landed,R__Round3_Strikes_Ground Significant Strikes_Landed,R__Round3_Strikes_Head Significant Strikes_Landed,R__Round3_Strikes_Legs Significant Strikes_Landed,R__Round3_Strikes_Significant Strikes_Landed,winby,winner
808,Alistair Overeem,,,,,,,,,,,,,,,,,,,2/3/14,646,4580,3,3,377,Frank Mir,,,,,,,,,,,,,,,,,,,DEC,blue
1056,Danny Martinez,,,,,,,,,,,,,,,,,,,2/3/14,646,4605,3,3,1253,Chris Cariaso,,,,,,,,,,,,,,,,,,,DEC,red
2005,Tom Watson,,,,,,,,,,,,,,,,,,,2/3/14,646,4631,3,3,464,Nick Catone,,,,,,,,,,,,,,,,,,,DEC,red
2101,Alan Patrick,,,,,,,,,,,,,,,,,,,2/3/14,646,4642,3,3,1675,John Makdessi,,,,,,,,,,,,,,,,,,,DEC,blue
2157,Kevin Lee,,,,,,,,,,,,,,,,,,,2/3/14,646,4649,3,3,1983,Al Iaquinta,,,,,,,,,,,,,,,,,,,DEC,red
2158,Rashid Magomedov,,,,,,,,,,,,,,,,,,,11/5/16,646,4651,3,3,2159,Tony Martin,,,,,,,,,,,,,,,,,,,DEC,blue
2160,Gasan Umalatov,,,,,,,,,,,,,,,,,,,2/3/14,646,4652,3,3,2047,Neil Magny,,,,,,,,,,,,,,,,,,,DEC,red
2084,Ali Bagautinov,,,,,,,,,,,,,,,,,,,2/3/14,646,4658,3,3,1966,John Lineker,,,,,,,,,,,,,,,,,,,DEC,blue
2013,Abel Trujillo,,,,,,,,,,,,,,,,,,,2/3/14,646,4662,2,3,530,Jamie Varner,,,,,,,,,,,,,,,,,,,KO/TKO,blue
2167,Andy Enz,,,,,,,,,,,,,,,,,,,2/3/14,646,4665,3,3,2061,Clint Hester,,,,,,,,,,,,,,,,,,,DEC,red
1883,Francis Carmont,,,,,,,,,,,,,,,,,,,2/16/14,647,4603,3,3,896,Jacare Souza,,,,,,,,,,,,,,,,,,,DEC,red
1982,Joe Proctor,,,,,,,,,,,,,,,,,,,2/16/14,647,4618,3,3,774,Cristiano Marcello,,,,,,,,,,,,,,,,,,,DEC,blue
